CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_256,37.8654022532063,126.999987781084,956020.009031845,1985184.06534199
Cell_257,37.8661483004462,127.227366110066,976020.009031845,1985184.06534199
Cell_258,37.866455246134,127.454750361929,996020.009031845,1985184.06534199
Cell_259,37.8663230697977,127.682135596852,1016020.00903184,1985184.06534199
Cell_260,37.8657517802529,127.90951687488,1036020.00903184,1985184.06534199
Cell_261,37.8647414156013,128.136889256595,1056020.00903184,1985184.06534199
Cell_262,37.8632920432232,128.364247803794,1076020.00903184,1985184.06534199
Cell_263,37.8614037597647,128.591587580161,1096020.00903184,1985184.06534199
Cell_264,37.8590766911198,128.818903651935,1116020.00903184,1985184.06534199
Cell_265,37.9973158116289,125.063064501337,786020.009031845,2002504.57341768
Cell_266,38.0018142929013,125.290672774715,806020.009031845,2002504.57341768
Cell_267,38.0058725802886,125.518329254172,826020.009031845,2002504.57341768
Cell_268,38.009490402786,125.746028987675,846020.009031845,2002504.57341768
Cell_269,38.0126675187155,125.97376701727,866020.009031845,2002504.57341768
Cell_270,38.0154037157719,126.201538379761,886020.009031845,2002504.57341768
Cell_271,38.0176988110633,126.429338107384,906020.009031845,2002504.57341768
Cell_272,38.0195526511457,126.657161228487,926020.009031845,2002504.57341768
Cell_273,38.0209651120522,126.885002768212,946020.009031845,2002504.57341768
Cell_274,38.0219360993167,127.112857749171,966020.009031845,2002504.57341768
Cell_275,38.0224655479921,127.340721192137,986020.009031845,2002504.57341768
Cell_276,38.022553422662,127.568588116718,1006020.00903184,2002504.57341768
Cell_277,38.0221997174481,127.796453542046,1026020.00903184,2002504.57341768
Cell_278,38.0214044560111,128.024312487458,1046020.00903184,2002504.57341768
Cell_279,38.020167691546,128.25215997318,1066020.00903184,2002504.57341768
Cell_280,38.0184895067725,128.479991021012,1086020.00903184,2002504.57341768
Cell_281,38.0163700139185,128.707800655007,1106020.00903184,2002504.57341768
Cell_282,38.1508522632205,124.943854770047,776020.009031845,2019825.08149337
Cell_283,38.1555970939673,125.171920021142,796020.009031845,2019825.08149337
Cell_284,38.1598994215745,125.40003637244,816020.009031845,2019825.08149337
Cell_285,38.1637589579398,125.628198834188,836020.009031845,2019825.08149337
Cell_286,38.1671754445135,125.856402410282,856020.009031845,2019825.08149337
Cell_287,38.1701486523482,126.084642098955,876020.009031845,2019825.08149337
Cell_288,38.1726783821424,126.312912893461,896020.009031845,2019825.08149337
Cell_289,38.1747644642783,126.541209782764,916020.009031845,2019825.08149337
Cell_290,38.1764067588546,126.769527752227,936020.009031845,2019825.08149337
Cell_291,38.1776051557132,126.997861784302,956020.009031845,2019825.08149337
Cell_292,38.17835957446,127.226206859227,976020.009031845,2019825.08149337
Cell_293,38.1786699644803,127.454557955711,996020.009031845,2019825.08149337
Cell_294,38.1785363049489,127.682910051633,1016020.00903184,2019825.08149337
Cell_295,38.1779586048336,127.911258124735,1036020.00903184,2019825.08149337
Cell_296,38.1769369028936,128.139597153312,1056020.00903184,2019825.08149337
Cell_297,38.1754712676725,128.367922116911,1076020.00903184,2019825.08149337
Cell_298,38.1735617974844,128.59622799702,1096020.00903184,2019825.08149337
Cell_299,38.3092393780341,125.052656696445,786020.009031845,2037145.58956906
Cell_300,38.3137882364954,125.281235011869,806020.009031845,2037145.58956906
Cell_301,38.317891976795,125.509862338556,826020.009031845,2037145.58956906
Cell_302,38.321550323249,125.738533642002,846020.009031845,2037145.58956906
Cell_303,38.3247630300057,125.967243881602,866020.009031845,2037145.58956906
Cell_304,38.3275298810924,126.195988011354,886020.009031845,2037145.58956906
Cell_305,38.3298506904571,126.424760980549,906020.009031845,2037145.58956906
Cell_306,38.331725302004,126.653557734476,926020.009031845,2037145.58956906
Cell_307,38.3331535896237,126.882373215119,946020.009031845,2037145.58956906
Cell_308,38.334135457217,127.111202361859,966020.009031845,2037145.58956906
Cell_309,38.3346708387139,127.340040112181,986020.009031845,2037145.58956906
Cell_310,38.3347596980857,127.568881402369,1006020.00903184,2037145.58956906
Cell_311,38.3344020293526,127.79772116822,1026020.00903184,2037145.58956906
Cell_312,38.3335978565842,128.026554345739,1046020.00903184,2037145.58956906
Cell_313,38.3323472338954,128.25537587185,1066020.00903184,2037145.58956906
Cell_314,38.3306502454356,128.484180685094,1086020.00903184,2037145.58956906
Cell_315,38.4675370517443,125.161920160266,796020.009031845,2054466.09764475
Cell_316,38.4718874970742,125.391014482363,816020.009031845,2054466.09764475
Cell_317,38.4757902037886,125.620155688476,836020.009031845,2054466.09764475
Cell_318,38.4792449088663,125.849338698906,856020.009031845,2054466.09764475
Cell_319,38.4822513793993,126.078558428115,876020.009031845,2054466.09764475
Cell_320,38.4848094126373,126.30780978544,896020.009031845,2054466.09764475
Cell_321,38.4869188360271,126.537087675799,916020.009031845,2054466.09764475
Cell_322,38.4885795072456,126.766387000398,936020.009031845,2054466.09764475
Cell_323,38.4897913142274,126.995702657449,956020.009031845,2054466.09764475
Cell_324,38.4905541751865,127.225029542878,976020.009031845,2054466.09764475
Cell_325,38.4908680386318,127.454362551039,996020.009031845,2054466.09764475
Cell_326,38.4907328833774,127.683696575432,1016020.00903184,2054466.09764475
Cell_327,38.4901487185464,127.913026509412,1036020.00903184,2054466.09764475
Cell_328,38.4891155835693,128.142347246908,1056020.00903184,2054466.09764475
Cell_329,38.4876335481764,128.371653683135,1076020.00903184,2054466.09764475
Cell_330,38.6298931206895,125.50126348657,826020.009031845,2071786.60572043
Cell_331,38.6335923348055,125.730921482462,846020.009031845,2071786.60572043
Cell_332,38.6368409343677,125.960619070776,866020.009031845,2071786.60572043
Cell_333,38.6396386996606,126.19035112061,886020.009031845,2071786.60572043
Cell_334,38.6419854414074,126.420112496215,906020.009031845,2071786.60572043
Cell_335,38.6438810008061,126.649898057715,926020.009031845,2071786.60572043
Cell_336,38.6453252495605,126.879702661833,946020.009031845,2071786.60572043
Cell_337,38.6463180899049,127.109521162609,966020.009031845,2071786.60572043
Cell_338,38.6468594546235,127.33934841213,986020.009031845,2071786.60572043
Cell_339,38.6469493070628,127.569179261246,1006020.00903184,2071786.60572043
Cell_340,38.6465876411391,127.799008560304,1026020.00903184,2071786.60572043
Cell_341,38.6457744813395,128.028831159867,1046020.00903184,2071786.60572043
Cell_342,38.6445098827176,128.258641911443,1066020.00903184,2071786.60572043
