CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_115,35.4851469010292,127.318321908933,983520.009031845,1721046.31718774
Cell_116,35.4852825559545,127.48368430339,998520.009031845,1721046.31718774
Cell_117,35.4851916154576,127.649046879951,1013520.00903184,1721046.31718774
Cell_118,35.4848740828073,127.814407792979,1028520.00903184,1721046.31718774
Cell_119,35.4843299694174,127.979765196955,1043520.00903184,1721046.31718774
Cell_120,35.4835592948452,128.145117246603,1058520.00903184,1721046.31718774
Cell_121,35.4825620867898,128.310462097019,1073520.00903184,1721046.31718774
Cell_122,35.4813383810892,128.475797903803,1088520.00903184,1721046.31718774
Cell_123,35.4798882217168,128.641122823181,1103520.00903184,1721046.31718774
Cell_124,35.4782116607768,128.806435012139,1118520.00903184,1721046.31718774
Cell_125,35.4763087584994,128.971732628546,1133520.00903184,1721046.31718774
Cell_126,35.4741795832341,129.137013831287,1148520.00903184,1721046.31718774
Cell_127,35.4718242114437,129.302276780386,1163520.00903184,1721046.31718774
Cell_128,35.6000069523965,126.738475242132,931020.009031845,1734036.6982445
Cell_129,35.6009395972716,126.904062997352,946020.009031845,1734036.6982445
Cell_130,35.6016447242172,127.069657432024,961020.009031845,1734036.6982445
Cell_131,35.6021223078388,127.235256690407,976020.009031845,1734036.6982445
Cell_132,35.6023723309357,127.40085891642,991020.009031845,1734036.6982445
Cell_133,35.6023947845029,127.566462253774,1006020.00903184,1734036.6982445
Cell_134,35.6021896677317,127.732064846105,1021020.00903184,1734036.6982445
Cell_135,35.6017569880097,127.8976648371,1036020.00903184,1734036.6982445
Cell_136,35.6010967609206,128.063260370625,1051020.00903184,1734036.6982445
Cell_137,35.6002090102419,128.228849590863,1066020.00903184,1734036.6982445
Cell_138,35.5990937679433,128.394430642434,1081020.00903184,1734036.6982445
Cell_139,35.5977510741829,128.560001670531,1096020.00903184,1734036.6982445
Cell_140,35.5961809773032,128.725560821049,1111020.00903184,1734036.6982445
Cell_141,35.5943835338268,128.89110624071,1126020.00903184,1734036.6982445
Cell_142,35.59235880845,129.056636077198,1141020.00903184,1734036.6982445
Cell_143,35.590106874037,129.222148479284,1156020.00903184,1734036.6982445
Cell_144,35.5876278116119,129.387641596957,1171020.00903184,1734036.6982445
Cell_145,35.7165697773202,126.654450739834,923520.009031845,1747027.07930127
Cell_146,35.7176206672865,126.820276358686,938520.009031845,1747027.07930127
Cell_147,35.7184430771917,126.986109629017,953520.009031845,1747027.07930127
Cell_148,35.7190369773591,127.151948684493,968520.009031845,1747027.07930127
Cell_149,35.7194023463564,127.317791658373,983520.009031845,1747027.07930127
Cell_150,35.7195391709976,127.483636683641,998520.009031845,1747027.07930127
Cell_151,35.7194474463448,127.649481893138,1013520.00903184,1747027.07930127
Cell_152,35.7191271757084,127.81532541969,1028520.00903184,1747027.07930127
Cell_153,35.7185783706466,127.981165396242,1043520.00903184,1747027.07930127
Cell_154,35.7178010509647,128.146999955989,1058520.00903184,1747027.07930127
Cell_155,35.7167952447128,128.312827232506,1073520.00903184,1747027.07930127
Cell_156,35.715560988183,128.47864535988,1088520.00903184,1747027.07930127
Cell_157,35.7140983259058,128.64445247284,1103520.00903184,1747027.07930127
Cell_158,35.7124073106456,128.81024670689,1118520.00903184,1747027.07930127
Cell_159,35.7104880033955,128.976026198437,1133520.00903184,1747027.07930127
Cell_160,35.7083404733708,129.141789084922,1148520.00903184,1747027.07930127
Cell_161,35.7059647980027,129.307533504953,1163520.00903184,1747027.07930127
Cell_162,35.8342382936295,126.736243271859,931020.009031845,1760017.46035804
Cell_163,35.8351789686272,126.90231627192,946020.009031845,1760017.46035804
Cell_164,35.8358901668778,127.068396029625,961020.009031845,1760017.46035804
Cell_165,35.8363718626648,127.234480667509,976020.009031845,1760017.46035804
Cell_166,35.8366240385694,127.400568307767,991020.009031845,1760017.46035804
Cell_167,35.8366466854722,127.566657072377,1006020.00903184,1760017.46035804
Cell_168,35.8364398025544,127.732745083241,1021020.00903184,1760017.46035804
Cell_169,35.8360033972973,127.898830462314,1036020.00903184,1760017.46035804
Cell_170,35.835337485482,128.064911331735,1051020.00903184,1760017.46035804
Cell_171,35.834442091188,128.230985813964,1066020.00903184,1760017.46035804
Cell_172,35.83331724679,128.397052031908,1081020.00903184,1760017.46035804
Cell_173,35.8319629929553,128.563108109061,1096020.00903184,1760017.46035804
Cell_174,35.8303793786397,128.729152169631,1111020.00903184,1760017.46035804
Cell_175,35.8285664610821,128.895182338674,1126020.00903184,1760017.46035804
Cell_176,35.826524305799,129.061196742226,1141020.00903184,1760017.46035804
Cell_177,35.8242529865779,129.227193507434,1156020.00903184,1760017.46035804
Cell_178,35.82175258547,129.393170762688,1171020.00903184,1760017.46035804
Cell_179,35.9518516489487,126.818275488822,938520.009031845,1773007.8414148
Cell_180,35.9526811299757,126.984596853514,953520.009031845,1773007.8414148
Cell_181,35.9532801366173,127.150924071296,968520.009031845,1773007.8414148
Cell_182,35.9536486471691,127.317255253504,983520.009031845,1773007.8414148
Cell_183,35.9537866482779,127.483588511195,998520.009031845,1773007.8414148
Cell_184,35.9536941349431,127.649921955279,1013520.00903184,1773007.8414148
Cell_185,35.9533711105169,127.81625369665,1028520.00903184,1773007.8414148
Cell_186,35.9528175867045,127.982581846326,1043520.00903184,1773007.8414148
Cell_187,35.9520335835624,128.148904515578,1058520.00903184,1773007.8414148
Cell_188,35.9510191294967,128.315219816065,1073520.00903184,1773007.8414148
Cell_189,35.94977426126,128.481525859972,1088520.00903184,1773007.8414148
Cell_190,35.9482990239479,128.647820760136,1103520.00903184,1773007.8414148
Cell_191,35.9465934709944,128.814102630186,1118520.00903184,1773007.8414148
Cell_192,35.9446576641661,128.980369584676,1133520.00903184,1773007.8414148
Cell_193,35.9424916735565,129.146619739214,1148520.00903184,1773007.8414148
Cell_194,35.9400955775787,129.3128512106,1163520.00903184,1773007.8414148
Cell_195,35.9374694629573,129.479062116956,1178520.00903184,1773007.8414148
Cell_196,36.0684603648253,126.733985397089,931020.009031845,1785998.22247157
